Date,Region,Ip Region,AF Tag,Install,New User,R2,R3,R4,R5,R6,R7,R14,R30,R3 R2,R7 R3,R14 R7,R30 R14,,Date: 2025-02-01 -- 2026-04-08
2025-02-01,SG,MM,organic,42,43,58.14%,30.23%,20.93%,27.91%,23.26%,16.28%,2.33%,0.00%,52.00%,53.85%,14.29%,0.00%
2025-02-01,SG,MN,organic,1,2,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
2025-02-01,SG,MY,facebook ads,2,0,,,,,,,,,,,,
2025-02-01,SG,MY,googleadwords_int,670,494,39.47%,19.23%,13.97%,11.34%,8.70%,8.91%,2.63%,1.21%,48.72%,46.32%,29.55%,46.15%
2025-02-01,SG,MY,organic,177,352,38.07%,22.44%,18.47%,14.49%,12.78%,13.64%,6.82%,3.69%,58.96%,60.76%,50.00%,54.17%
2025-02-01,SG,MY,restricted,2,2,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,
2025-02-01,SG,MY,tiktokglobal_int,19,19,42.11%,10.53%,10.53%,5.26%,15.79%,31.58%,15.79%,5.26%,25.00%,300.00%,50.00%,33.33%
2025-02-01,SG,NP,organic,2,2,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,,
2025-02-01,SG,PF,organic,0,1,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,,0.00%,
2025-02-01,SG,PH,organic,250,264,50.00%,27.27%,25.38%,18.94%,17.05%,15.53%,7.95%,2.27%,54.55%,56.94%,51.22%,28.57%
2025-02-01,SG,PK,organic,1,3,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
2025-02-01,SG,PR,organic,0,3,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
2025-02-01,SG,RU,organic,43,36,61.11%,25.00%,19.44%,25.00%,13.89%,8.33%,5.56%,0.00%,40.91%,33.33%,66.67%,0.00%
2025-02-01,SG,RU,organica,3,2,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,,,0.00%
2025-02-01,SG,SG,googleadwords_int,1,1,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,,,,
2025-02-01,SG,SG,organic,7,40,22.50%,10.00%,10.00%,7.50%,5.00%,5.00%,5.00%,5.00%,44.44%,50.00%,100.00%,100.00%
2025-02-01,SG,TH,facebook ads,18,19,36.84%,21.05%,21.05%,0.00%,5.26%,0.00%,5.26%,5.26%,57.14%,0.00%,,100.00%
2025-02-01,SG,TH,googleadwords_int,2398,2048,48.54%,29.69%,20.31%,15.38%,13.23%,11.33%,4.49%,2.05%,61.17%,38.16%,39.66%,45.65%
2025-02-01,SG,TH,organic,667,820,44.39%,29.63%,20.37%,16.71%,13.41%,13.17%,5.00%,1.95%,66.76%,44.44%,37.96%,39.02%
